date,open,high,low,close,volume
2025-01-27 19:00:00-05:00,60.86,62.24,59.89,61.93,5581368.0
2025-01-28 19:00:00-05:00,61.86,62.32,60.87,61.86,8005497.0
2025-01-29 19:00:00-05:00,62.62,64.025,62.54,63.51,9201209.0
2025-01-30 19:00:00-05:00,63.8,64.725,62.45,62.87,10205929.0
2025-02-02 19:00:00-05:00,60.24,62.199,60.16,61.78,11525076.0
2025-02-03 19:00:00-05:00,62.73,63.6,62.335,63.12,7305357.0
2025-02-04 19:00:00-05:00,63.1,64.09,63.0,63.81,4742827.0
2025-02-05 19:00:00-05:00,63.1,63.32,62.1001,62.72,6497171.0
2025-02-06 19:00:00-05:00,62.98,64.06,62.35,62.76,9841399.0
2025-02-09 19:00:00-05:00,63.16,63.488,62.65,62.72,4182170.0
2025-02-10 19:00:00-05:00,62.0,62.71,60.94,61.35,6618884.0
2025-02-11 19:00:00-05:00,60.63,62.955,60.48,62.68,10280301.0
2025-02-12 19:00:00-05:00,63.005,64.78,62.9,64.78,8663505.0
2025-02-13 19:00:00-05:00,66.01,67.16,65.85,67.02,10530385.0
2025-02-17 19:00:00-05:00,67.9,68.43,65.715,66.48,7402900.0
2025-02-18 19:00:00-05:00,66.51,66.82,65.4,65.71,7748119.0
2025-02-19 19:00:00-05:00,65.31,65.31,62.55,63.98,11545221.0
2025-02-20 19:00:00-05:00,64.4,64.4196,60.08,60.2,13002447.0
2025-02-23 19:00:00-05:00,60.15,60.46,57.78,59.08,14937164.0
2025-02-24 19:00:00-05:00,58.075,58.27,55.09,56.0,22120959.0
2025-02-25 19:00:00-05:00,56.56,57.67,55.96,56.46,13457053.0
2025-02-26 19:00:00-05:00,57.33,57.7,54.53,54.59,16878036.0
2025-02-27 19:00:00-05:00,53.67,55.72,53.1,55.64,13203891.0
2025-03-02 19:00:00-05:00,56.95,57.14,52.6,53.09,13322197.0
2025-03-03 19:00:00-05:00,51.48,54.56,50.23,53.17,23656825.0
2025-03-04 19:00:00-05:00,53.52,54.765,52.53,54.7,10013924.0
2025-03-05 19:00:00-05:00,53.2,54.34,51.8,52.14,14784675.0
2025-03-06 19:00:00-05:00,51.745,52.8301,49.695,52.45,17135676.0
2025-03-09 20:00:00-04:00,50.86,50.88,47.2,47.86,28314258.0
2025-03-10 20:00:00-04:00,47.67,49.29,47.01,48.19,17101409.0
2025-03-11 20:00:00-04:00,49.97,50.365,48.38,49.61,16828712.0
2025-03-12 20:00:00-04:00,49.24,49.31,46.92,47.25,16232860.0
2025-03-13 20:00:00-04:00,48.45,49.4,48.34,49.19,12722858.0
2025-03-16 20:00:00-04:00,49.145,50.5167,48.7,49.98,8847856.0
2025-03-17 20:00:00-04:00,49.15,49.16,47.68,48.24,13058600.0
2025-03-18 20:00:00-04:00,48.91,51.025,48.71,50.05,17147170.0
2025-03-19 20:00:00-04:00,49.36,50.91,49.2715,50.02,9837688.0
2025-03-20 20:00:00-04:00,49.3,51.545,48.98,51.5,15387557.0
2025-03-23 20:00:00-04:00,52.895,54.235,52.7,54.18,13607391.0
2025-03-24 20:00:00-04:00,54.265,54.51,53.39,54.14,9522218.0
2025-03-25 20:00:00-04:00,53.82,54.05,51.25,51.66,15572391.0
